,Maximum,Minimum,Average
Thrust (gf),628.2030064520899,-2.920873562289855,262.5492317602952
Current (A),12.498602311197764,0.0,4.469138647674051
Motor Efficiency (%),99.95329880153659,0.0,79.04022463642028
Burst Current Cutoff (A),11.526489705931732,0.0128721750514615,3.417384431780285
Voltage (V),16.54680964574574,15.602963099603718,16.17726135988981
Electrical Power (W),197.23792679254237,0.113941838542025,71.34183620465043
Torque (N·m),0.0005325810270835243,-0.05064826493224338,-0.022249308797669367
Motor Electrical Speed (RPM),37058.0,0.0,21833.29990806037
Mechanical Power (W),196.51035076611026,0.0,65.5964209760124
Propeller Mech. Efficiency (gf/W),50.49396542447004,0.0,4.980610308307926
Overall Efficiency (gf/W),5.513453392523299,0.0,3.8859051194294425
AccX (g),0.099609375,-0.173828125,-0.016484102690730973
AccY (g),0.1875,-0.177734375,0.07251732179968555
AccZ (g),-0.87109375,-1.0380859375,-0.9855264891235347
