Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,0,0.01953125,-0.9453125,0.0013908878812407992,-1558.449662447129,16.589620191442254,0.18427342178914077,0,0,2.9341637671814524,0,0,0,0,0.07961340827196843,0.024312779122613065,-1.6063375847146424,0.060546875,0.18195370991008464,0,1,1,1,0,0,0,0,0,,
0.13050500000000465,1000,,,,0,0.015625,-0.94140625,0.0013731479294250776,-1558.6809414458821,16.589331529640464,0.18492990406329576,0,0,2.927495725538231,0,0,0,0,0.07997440999413608,0.02473293733058927,-1.6065898214741843,0.060546875,0.18210608380719043,0,1,1,1,0,0,0,0,0,,
0.24777500000002328,1000,,,,0,0.01953125,-0.947265625,0.0013195939629290347,-1558.6809414458821,16.589334089826966,0.18568274350448377,0,0,2.9571969093260386,0,0,0,0,0.0801180635645843,0.025193691294491862,-1.6065898214741843,0.060546875,0.1822696840302847,0,1,1,1,0,0,0,0,0,,
0.3614450000000652,1000,,,,0,0.01953125,-0.943359375,0.0014208290837751832,-1558.8079058463106,16.58919787631704,0.17995918766102637,0,0,2.8655369666239823,0,0,0,0,0.08049578126510613,0.02487692834514063,-1.6067282909812035,0.060546875,0.18198381089069396,0,1,1,1,0,0,0,0,0,,
0.4807850000000326,1000,,,,0.001953125,0.03515625,-0.962890625,0.0014208290837751832,-1558.5199690225884,16.58823263700622,0.2126743997311102,2546,0,3.375612261935622,0.37878910129651466,11.221345104348918,4114.479439054887,461.69993710382835,0.08049578126510613,0.02487692834514063,-1.6064142622463853,0.064453125,0.18421825602341707,0,1,1,1,0,0,0,0,0,,
0.5991600000000326,1000,,,,-0.013671875,0.05078125,-0.9765625,0.001444629490707176,-1557.783250320758,16.58713118001453,0.2735575603091044,7290,0,4.3734472664548445,1.1029133735624181,25.21839881372228,1412.425751343559,356.1911589215322,0.08075410695805578,0.024947163034917993,-1.6056107844596201,0.1328125,0.1896650848597612,0,1,1,1,0,0,0,0,0,,
0.9397950000000419,1000,,,,-0.01171875,0.0546875,-0.98046875,0.0016458791394643128,-1556.1915714528795,16.586357962126325,0.309948285791774,8251,0,4.983019563175953,1.4221571207898962,28.540066976648138,1094.247287239639,312.29890866834825,0.08290324801974686,0.025511010419044754,-1.6038748727597723,0.267578125,0.200478311520694,0,1,1,1,0,0,0,0,0,,
1.073715000000084,1000,,,,0,0.056640625,-0.96484375,0.0016638749692998009,-1556.1528323608754,16.588210757537055,0.2199189958740707,8325,0,3.5006983408929595,1.4504828935704859,41.43410120851762,1072.8515580975065,444.52640039927905,0.08189170112789997,0.02453393151451006,-1.6038326232555484,0.275390625,0.1988234856123951,1,1,1,1,0,0,0,0,0,,
1.2030549999999347,1000,,,,0,0.017578125,-0.94140625,0.0015889489729915365,-1557.0791906697136,16.58923354647125,0.2030220803212405,8339,0,3.2449813335113715,1.387529525390575,42.75924520925176,1122.1953566944185,479.8422642958039,0.08143582799337067,0.024617869335950043,-1.6048429251820338,0.228515625,0.19843541016413585,0,1,1,1,0,0,0,0,0,,
1.3282600000000093,1000,,,,-0.021484375,0.052734375,-0.966796875,0.0014983157927664962,-1557.4648288634182,16.588225628814538,0.24611504470517992,9517,0,3.9596472565558916,1.4931790548904307,37.7099008609469,1043.052957220663,393.33423609508696,0.08084291047645834,0.024683998812537657,-1.6052635086714988,0.201171875,0.20176806420354168,0,1,1,1,0,0,0,0,0,,
