,Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3.1,App message,Unnamed: 34
0,0.0,1000.0,,,,-0.0013020833333333333,0.076171875,-0.9947916666666666,0.00024244208849219048,2.1873981414019297,15.647590556292135,0.0,0.0,0.0,0.1816521977097795,0.0,0.0,0.0,0.0,0.11045663943625768,0.020808490506714093,0.03769225167261972,0.05859375,0.011859773779719968,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1,0.11308833333331858,1000.0,,,,0.0,0.07747395833333333,-0.994140625,0.00013107691652628856,2.3496987764069637,15.647535848805214,0.0,0.0,0.0,0.1712023837973209,0.0,0.0,0.0,0.0,0.11015050160105411,0.02125334783903905,0.03786878170806329,0.059244791666666664,0.011708964387487477,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2,0.22946833333334263,1000.0,,,,0.0,0.076171875,-0.994140625,0.00013050565724394037,2.305126136974236,15.647574020967921,0.0,0.0,0.0,0.18420961433824276,0.0,0.0,0.0,0.0,0.110141796784218,0.02124957616762756,0.03782030124698174,0.059244791666666664,0.011706732730855008,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,0.35590833333336436,1000.0,,,,0.0,0.078125,-0.99609375,8.177261644338551e-06,1.626674656576224,15.64716967792954,0.0,0.0,0.0,0.20851298623100903,0.0,0.0,0.0,0.0,0.10902671359506172,0.021077404958191732,0.03708236781944036,0.059244791666666664,0.011771612885383689,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
4,0.4712466666666441,1000.0,,,,0.0,0.076171875,-0.9934895833333334,-6.413763367297686e-06,0.8845328518645382,15.647969861196003,0.0,0.0,0.0,0.17409436751774968,0.0,0.0,0.0,0.0,0.10888198245145163,0.02104691855584802,0.036275160139163286,0.059244791666666664,0.011603113845452017,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
5,0.5823283333333288,1000.0,,,,0.0,0.078125,-0.99609375,7.676708715412626e-05,0.6328660749155011,15.64769140753827,0.0,0.0,0.0,0.18216686789870742,0.0,0.0,0.0,0.0,0.10983250470041071,0.021327148826360276,0.03600142895472642,0.059244791666666664,0.011622164280821268,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
6,0.7000833333332945,1000.0,,,,0.0,0.07877604166666667,-0.99609375,6.90884140725383e-05,0.6328660749155011,15.647807761582492,0.005037246520145292,0.0,0.0,0.1901030163019044,0.0,0.0,0.0,0.0,0.10993631745604505,0.02146381801574937,0.03600142895472642,0.05859375,0.011689155452682398,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
7,0.8373583333332789,1000.0,,,,-0.00390625,0.076171875,-0.9928385416666666,0.00011506882450341277,0.4535499750208866,15.646871346357985,0.025316396426844846,3744.0,0.0,0.4293795336850041,0.044547141396154316,9.670709504574953,8.92123777626745,0.7850183881199143,0.109613515656511,0.020898997377113027,0.03580639165577181,0.061848958333333336,0.013148389249159344,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
8,0.9620166666666433,1000.0,,,,0.0,0.0625,-0.984375,0.00016893065085911096,0.3464953471073901,15.64641226394078,0.03540338961925313,4948.0,0.0,0.5783786980845894,0.09957169791021753,14.659528045919885,4.380120351801607,0.5797091381500156,0.10959685481550933,0.020544072345531638,0.03568995121634049,0.06966145833333333,0.014424320635586907,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
9,1.0789583333333723,1000.0,,,,-0.018229166666666668,0.07161458333333333,-0.9869791666666666,0.00023417193308795947,0.3873892090618867,15.64592061977875,0.06080340764124715,6864.0,0.0,0.851501098047629,0.15564082070873986,18.094265401962545,3.426111614555341,0.5869777514093,0.10992505009795528,0.020409760524004242,0.035734430370103674,0.07877604166666667,0.016873049207084618,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
10,1.1879699999999722,1000.0,,,,-0.005208333333333333,0.055338541666666664,-0.9850260416666666,0.00022491399357244557,0.14841961320328764,15.645466686826653,0.06289902695747358,7711.0,0.0,0.8881541335101265,0.17677525603608937,19.838880175907857,3.8972044560972052,0.6625909305815572,0.11019831345450952,0.0207002014585538,0.03547450956803444,0.08854166666666667,0.018604087999689402,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
11,1.3067933333333348,1000.0,,,,-0.00390625,0.07161458333333333,-0.990234375,0.0002954618900316131,0.5280104300927331,15.645994261129568,0.05224864926530579,8000.666666666667,0.0,0.7415758735918816,0.24578064772173627,32.733205549612556,4.752969982632005,1.4625999522528137,0.11072994649670809,0.02070493210219426,0.03588738029005885,0.08919270833333333,0.01938210485909222,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
