Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,0,0.017578125,-0.943359375,0.000044366179062535756,1.7899723374285914,16.60318649295111,0.1388860484145515,0,0,2.2030877226672665,0,0,0,0,0.12866768068613973,-0.03889642764386701,0.00018181262438464926,0.05859375,0.14072162944601133,0,1,1,1,0,0,0,0,0,,
0.11847499999997671,1000,,,,0,0.017578125,-0.94140625,0.00007586861641313798,1.8273035385579373,16.60274080741842,0.1437650729487483,0,0,2.266071876410337,0,0,0,0,0.12834733543426116,-0.0393667437054395,0.00022214652241393944,0.05859375,0.14100470523890296,0,1,1,1,0,0,0,0,0,,
0.24027000000001864,1000,,,,-0.017578125,0.0546875,-0.966796875,0.00007586861641313798,1.8449638689472396,16.602491322134355,0.16062925198817576,3687,0,2.519868080423728,0.0292949573667635,1.1625591670591506,62.97888902342072,0.7321668476537868,0.12834733543426116,-0.0393667437054395,0.00024122734337701668,0.06640625,0.14229018145371794,0,1,1,1,0,0,0,0,0,,
0.35564999999996505,1000,,,,-0.01953125,0.06640625,-0.978515625,0.00007528886755623315,1.8545759704132074,16.60199874302092,0.18725801851868357,7539,0,2.9707999391529722,0.05943725088974064,2.0007153664708657,31.20225014870805,0.6242682134098805,0.12812593288071752,-0.03955076263133535,0.00025161258437240384,0.10546875,0.14496469465099987,0,1,1,1,0,0,0,0,0,,
0.4885200000000186,1000,,,,-0.00390625,0.0546875,-0.986328125,0.00003226224978325737,1.8545759704132074,16.601580627394647,0.19945336153675242,8198,0,3.2020398054830967,0.02769703294111884,0.864980906661157,66.9593733868842,0.5791857950165002,0.12803901124875033,-0.03935296252478444,0.00025161258437240384,0.142578125,0.1474090168896699,1,1,1,1,0,0,0,0,0,,
0.6309549999999581,1000,,,,-0.015625,0.048828125,-0.966796875,-0.00007216697885640792,1.2734639233549105,16.601284696792007,0.20651461016267314,8321,0,3.2787353295239146,0.06288096262901752,1.917841982022626,20.25197882017233,0.3884009520035954,0.12789163014826638,-0.03881898569408856,-0.0003762406145758701,0.173828125,0.14995511547235643,0,1,1,1,0,0,0,0,0,,
0.8428699999999953,1000,,,,0,0.02734375,-0.953125,-0.000006572523004575551,1.4308737556873987,16.602357990195095,0.16101282430463926,8338,0,2.5315976933959448,0.005738942078290571,0.22669249909894723,0,0.5652058221652078,0.12793844104765242,-0.03919318084849168,-0.00020616968371810803,0.169921875,0.14947230295519037,0,1,1,1,0,0,0,0,0,,
0.9515,1000,,,,-0.048828125,0.044921875,-0.947265625,-0.00004574806911989644,1.8452259502168094,16.601692965753095,0.1781286270769174,9663,0,2.8371425966237656,0.04629138113340914,1.631619827233797,39.86111248007426,0.6503818145808571,0.12781357498838752,-0.039051843962523924,0.00024151050488488185,0.150390625,0.15111031471641928,0,1,1,1,0,0,0,0,0,,
1.0679899999999907,1000,,,,-0.015625,0.064453125,-0.98828125,-0.000011964512922704123,1.8452259502168094,16.601327510479642,0.2099964468660513,11052,0,3.343018930097414,0.01384675572484561,0.414199141984581,0,0.5519639549761809,0.12815889778067938,-0.03897228432214921,0.00024151050488488185,0.177734375,0.15420677180018186,0,1,1,1,0,0,0,0,0,,
1.1788449999999722,1000,,,,-0.01953125,0.046875,-0.96484375,0.00010363456392599755,2.1798196380157897,16.60088956553609,0.22746481322781287,11970,0,3.6323378691366885,0.12990412067645482,3.576322615256318,16.780219339192087,0.6001147791171408,0.1289294135319849,-0.03904852427188456,0.0006030168930176603,0.20703125,0.15748822936120468,0,1,1,1,0,0,0,0,0,,
