,Maximum,Minimum,Average
Thrust (gf),940.9252075805814,-8.488273686875333,383.14095460287945
Current (A),27.82010934604359,0.0,9.093642729136887
Motor Efficiency (%),82.40880139594006,0.0,68.36300247613177
Burst Current Cutoff (A),24.888249423112025,0.015025478303893232,6.825622886558396
Voltage (V),15.981928568700733,13.895804554361279,15.18873089289174
Electrical Power (W),404.2964552787204,0.17192053309722224,134.05976990922045
Torque (N·m),0.00019873588488271237,-0.10361267212812847,-0.04431725204642016
Motor Electrical Speed (RPM),29697.0,0.0,17271.430629425297
Mechanical Power (W),322.222890680052,0.0,102.63978601614038
Propeller Mech. Efficiency (gf/W),9163.531573794984,0.0,28.755024905046238
Overall Efficiency (gf/W),5.006700765028777,0.0,3.216637387293207
AccX (g),0.08203125,-0.158203125,-0.017492509979791956
AccY (g),0.201171875,-0.08984375,0.07059285563261283
AccZ (g),-0.923828125,-1.0517578125,-0.9863007957543483
