,Maximum,Minimum,Average
Thrust (gf),986.7012374651279,-6.625949492775158,400.29114866383924
Current (A),27.7955372715494,0.13484878504402706,8.400544164253066
Motor Efficiency (%),92.70170495613323,0.0,68.18926236577086
Burst Current Cutoff (A),25.119433134016095,0.1434327411111805,6.211679999769291
Voltage (V),16.59632871902528,15.699107947696769,16.35012225005222
Electrical Power (W),436.17705669684455,2.087059083630706,135.06865642869897
Torque (N·m),0.0002273706009397485,-0.10129587484225076,-0.04287819630965979
Motor Electrical Speed (RPM),32716.0,0.0,17848.55729647498
Mechanical Power (W),347.03700643125666,0.0,113.66645050887011
Propeller Mech. Efficiency (gf/W),47.657305353174394,0.0,7.296457719446385
Overall Efficiency (gf/W),6.723359453844911,0.0,3.7046859704816097
AccX (g),0.583984375,-0.19140625,-0.016836704503434687
AccY (g),0.36328125,-0.591796875,0.061947250036760326
AccZ (g),-0.876953125,-1.22265625,-0.9845896291208791
