Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
20.739165000000007,1389,,,,-0.009765625,0.056640625,-1.001953125,0.02062385114631,0.22660985770575004,16.046784106462155,4.431416934771037,15842,0,70.98842497374842,34.213651894817595,48.19609944504309,0.006623375324049376,0.0031922085577972825,0.18903604711404678,-0.06383322548124852,0.303090861677709,0.173828125,3.1638342149615606,0,1,1,1,0,0,0,0,0,,
20.898869999999995,1393,,,,-0.00390625,0.052734375,-0.96875,0.020697752663905725,0.22660985770575004,16.04154286016382,4.501365012159837,15910,0,72.07400663267573,34.485034895552694,47.84670161505692,0.006571252092164024,0.003144127380910906,0.18892122425132563,-0.064389852013286,0.303090861677709,0.181640625,3.2349672621349637,0,1,1,1,0,0,0,0,0,,
21.01057000000001,1398,,,,-0.017578125,0.07421875,-0.984375,0.021263743277208275,0.23051406485693987,16.036829218531224,4.57448949847063,16002,0,73.22946954762907,35.63201021557486,48.65802037853012,0.006469297226351307,0.003147831962745703,0.19082767601183925,-0.06633302884111597,0.30741024897119407,0.189453125,3.2880953484708844,0,1,1,1,0,0,0,0,0,,
21.120345,1402,,,,-0.01953125,0.06640625,-1.009765625,0.021870250996151645,0.23051406485693987,16.032318001777696,4.645151382655076,16043,0,74.28827457205307,36.741364483381524,49.457824528883954,0.00627396581749716,0.003102967005019905,0.1931484403353549,-0.06818394628182073,0.30741024897119407,0.197265625,3.3338272481723235,0,1,1,1,0,0,0,0,0,,
21.222734999999986,1406,,,,-0.01171875,0.06640625,-0.998046875,0.022386787183133198,0.235944814747222,16.027591898117898,4.723082524624534,16160,0,75.54525083483607,37.88354019654135,50.146818996426134,0.006228161716754314,0.003123224982905492,0.19592576837143966,-0.06909341095079467,0.3134185141993931,0.20703125,3.3836188066012793,0,1,1,1,0,0,0,0,0,,
21.33392499999999,1409,,,,0.005859375,0.056640625,-0.986328125,0.022386787183133198,0.2385510314802392,16.02398771553269,4.76235095023366,16208,0,76.18283014701257,37.99732233636439,49.87649088782825,0.006278101108507319,0.003131296527313297,0.19592576837143966,-0.06909341095079467,0.31630188052826014,0.224609375,3.429359334786997,0,1,1,1,0,0,0,0,0,,
21.437014999999985,1413,,,,-0.0234375,0.060546875,-0.986328125,0.023030762449491548,0.2385510314802392,16.020910821920076,4.807928016080057,16297,0,76.88899360177516,39.3041353602939,51.11802550552108,0.006069362149643672,0.003102538091677295,0.19797035820947906,-0.07140803667030485,0.31630188052826014,0.24609375,3.4778442100669285,0,1,1,1,0,0,0,0,0,,
21.54707500000001,1416,,,,-0.01171875,0.068359375,-0.986328125,0.023350302063347175,0.24363556842370326,16.01697306644771,4.849480175932237,16327,0,77.52433980993078,39.92277393787674,51.49708341374703,0.006102671342497921,0.0031426977517129894,0.1986539874976207,-0.07283209641114295,0.3219271159259671,0.265625,3.5230271962649704,0,1,1,1,0,0,0,0,0,,
21.651375,1420,,,,-0.078125,0.048828125,-0.93359375,0.023350302063347175,0.2452906303196684,16.012988975526277,4.887384338011351,16401,0,78.12525948048139,40.104237371126054,51.33325333933206,0.006116327011775342,0.003139709640016635,0.1986539874976207,-0.07283209641114295,0.3237581799670195,0.283203125,3.5707923296142714,0,1,1,1,0,0,0,0,0,,
21.763,1423,,,,-0.01953125,0.05859375,-0.951171875,0.023755941790174005,0.24611925216116673,16.00997661636552,4.927920158201889,16443,0,78.76812353325914,40.90503971805004,51.930956182773926,0.006016844228916919,0.0031246047401046065,0.19919999155337778,-0.0749078678011476,0.3246749188885649,0.3046875,3.616675448004751,0,1,1,1,0,0,0,0,0,,
21.87286499999999,1427,,,,0.00390625,0.052734375,-0.974609375,0.023985145914340936,0.24611925216116673,16.006319485052067,4.972105510267171,16517,0,79.42940668978132,41.48533850576421,52.229193487229395,0.0059326803402356115,0.0030985910938804767,0.20037598959186798,-0.07535838830811342,0.3246749188885649,0.322265625,3.66513800987204,0,1,1,1,0,0,0,0,0,,
22.008339999999997,1431,,,,-0.015625,0.0703125,-1.0390625,0.024151665062105532,0.24912018570718591,16.00353058131433,5.010656287361033,16561,0,80.0340561470208,41.886457478026834,52.3357924045263,0.005947511456128071,0.003112677248914607,0.20157869939160925,-0.07539562591772851,0.3279949768991441,0.341796875,3.711415471556732,0,1,1,1,0,0,0,0,0,,
22.16058499999999,1435,,,,-0.013671875,0.0546875,-0.94140625,0.0242547498679914,0.2521162133575565,16.00017775058332,5.043110101155632,16617,0,80.61532885957843,42.20587491998852,52.354652045773754,0.005973486246535678,0.0031273979393759053,0.20246193723779707,-0.07530318454768148,0.3313096073126448,0.35546875,3.782619598559651,0,1,1,1,0,0,0,0,0,,
22.268574999999984,1440,,,,-0.013671875,0.06640625,-0.982421875,0.024474530412549232,0.2541591818234446,15.996829820541278,5.065501607167265,16665,0,80.94461381923985,42.71225138181043,52.76725574007012,0.0059504983605636295,0.00313991468772729,0.2027287770076097,-0.07645200526057479,0.3335698285793003,0.37109375,3.8305029805180753,1,1,1,1,0,0,0,0,0,,
22.382785000000002,1444,,,,-0.017578125,0.056640625,-1.05859375,0.024474530412549232,0.2554233580748783,15.992709507517567,5.10505796375257,16689,0,81.5391059630924,42.77378572334295,52.45800186073163,0.00597149290752364,0.0031325258605422084,0.2027287770076097,-0.07645200526057479,0.3349684395201937,0.380859375,3.8727451771971637,0,1,1,1,0,0,0,0,0,,
22.491385000000008,1448,,,,-0.02734375,0.0625,-0.970703125,0.024959535487254093,0.25690609615772897,15.987556958870684,5.179533054048273,16778,0,82.67801352912541,43.852375647427884,53.03994831948857,0.005858430526620683,0.0031073085236527527,0.20416482798555247,-0.07828169928068159,0.3366088545357442,0.390625,3.9229391342977045,0,1,1,1,0,0,0,0,0,,
22.608484999999988,1451,,,,-0.0078125,0.041015625,-0.98828125,0.02509321016972944,0.25690609615772897,15.982359077248883,5.269269431972489,16833,0,84.10787185199437,44.23200718220152,52.589616415496884,0.005808149178025662,0.0030544833735635314,0.20458724962556404,-0.07876381939673986,0.3366088545357442,0.400390625,3.9699262187940643,0,1,1,1,0,0,0,0,0,,
22.713639999999984,1455,,,,-0.025390625,0.080078125,-0.95703125,0.02543310559969479,0.2599490556888036,15.97740398955943,5.32521829113767,16949,0,84.93097409398035,45.13991887619476,53.14894755150835,0.00575873998360001,0.00306070969351131,0.20579000775809903,-0.07988256635930296,0.3399754076473298,0.408203125,4.021602107269069,0,1,1,1,0,0,0,0,0,,
22.82348000000001,1459,,,,-0.03125,0.068359375,-1.013671875,0.02543310559969479,0.26181055430051053,15.973127678000079,5.368230959265565,16970,0,85.62864777550226,45.19776707163779,52.78346469996289,0.005792555058871485,0.003057511254725345,0.20579000775809903,-0.07988256635930296,0.3420348612415881,0.41796875,4.066054810910623,0,1,1,1,0,0,0,0,0,,
22.930959999999992,1462,,,,-0.0078125,0.06640625,-0.953125,0.025840905265642474,0.26181055430051053,15.969609363397876,5.419117623627082,17044,0,86.41393305408272,46.1214337251081,53.37268203756297,0.005676548475508106,0.0030297261685410695,0.20757805112089533,-0.08093752476093012,0.3420348612415881,0.42578125,4.114926447913646,0,1,1,1,0,0,0,0,0,,
23.04111499999999,1466,,,,-0.013671875,0.046875,-0.9921875,0.026132914545269822,0.265545659565049,15.965991711145936,5.456272896740074,17074,0,86.92995732767228,46.7264662483881,53.75185687973843,0.0056829818491615424,0.003054708270062825,0.20851359639970113,-0.08198006703155959,0.34616716406126813,0.4375,4.159950144071949,0,1,1,1,0,0,0,0,0,,
23.147904999999998,1470,,,,-0.021484375,0.0703125,-1.02734375,0.026132914545269822,0.266443553943656,15.961740047866156,5.493943318373761,17132,0,87.51727117399133,46.88277402067353,53.56973931176034,0.0056831866183123985,0.0030444682560307997,0.20851359639970113,-0.08198006703155959,0.34716054208135205,0.44921875,4.206299077178994,0,1,1,1,0,0,0,0,0,,
23.273975000000007,1473,,,,-0.015625,0.06640625,-0.9375,0.026344085478593276,0.2693158805762261,15.958377060455197,5.545262252856997,17190,0,88.31870187516301,47.421677066906405,53.69381123143787,0.005679172421427717,0.003049364119469277,0.20951718995612856,-0.08246166043595902,0.35033831689683054,0.46484375,4.25445106464686,0,1,1,1,0,0,0,0,0,,
23.43683499999999,1477,,,,-0.0078125,0.064453125,-1.0078125,0.026665433464116844,0.2693158805762261,15.953043004075745,5.61435950555829,17284,0,89.4116668983128,48.26502850127939,53.980683031187446,0.005579938289461223,0.0030120888013699257,0.21043259181915092,-0.0837039964376563,0.35033831689683054,0.482421875,4.327291517661389,0,1,1,1,0,0,0,0,0,,
23.54275,1483,,,,-0.01953125,0.05859375,-1,0.02707450538979839,0.2748908262534413,15.949405824070919,5.659503926019203,17360,0,90.08869141394709,49.22018044049337,54.635248517854876,0.005584921139933266,0.003051335544328753,0.21191636984645434,-0.08502026317045805,0.3565061119413876,0.509765625,4.376491613891912,0,1,1,1,0,0,0,0,0,,
23.657,1486,,,,-0.017578125,0.076171875,-1.001953125,0.02740163279092202,0.2748908262534413,15.945737941202012,5.711735650614132,17399,0,90.9417717389336,49.92755178000293,54.90057079966495,0.0055057942248941,0.0030227124565218497,0.21318870798179146,-0.0860014195209101,0.3565061119413876,0.533203125,4.421735091408322,0,1,1,1,0,0,0,0,0,,
