,Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3.1,App message,Unnamed: 34
0,0.0,1000.0,,,,0.0,0.0703125,-0.9889322916666666,-6.399059927470629e-05,-0.5273230796151113,16.249339718418764,0.010308044057353314,0.0,0.0,0.20514238878559446,0.0,0.0,0.0,0.0,0.0929826008853798,0.012001982753242137,0.02697222036883061,0.06510416666666667,0.013750373590938858,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1,0.22536333333332245,1000.0,,,,0.0,0.072265625,-0.9915364583333334,-3.2223590730870415e-05,-0.781908731831242,16.24974998312198,0.0,0.0,0.0,0.18470408357634205,0.0,0.0,0.0,0.0,0.09295886480524962,0.011776755074588682,0.026699382474328726,0.064453125,0.013336742637026977,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2,0.3307816666666185,1000.0,,,,0.0,0.06770833333333333,-0.986328125,-8.221216321073516e-05,-0.832136159705054,16.24949495861851,0.0,0.0,0.0,0.2060171660045973,0.0,0.0,0.0,0.0,0.09298194291944122,0.012118549528085115,0.026645554045475625,0.06510416666666667,0.013240588583413307,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,0.43602499999990685,1000.0,,,,0.0,0.068359375,-0.9876302083333334,-0.00011959547414421663,-0.47569922026317474,16.24943189976968,0.0,0.0,0.0,0.2206665412714793,0.0,0.0,0.0,0.0,0.09265600798386316,0.012070615318041792,0.027027545344802496,0.064453125,0.013163821667849226,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
4,0.5481083333332789,1000.0,,,,0.0,0.06901041666666667,-0.9876302083333334,-0.00012054589740149438,-0.6745223464230711,16.24891692108343,0.0,0.0,0.0,0.2028900718556693,0.0,0.0,0.0,0.0,0.09258326747562225,0.012012389685345485,0.026814467810198556,0.064453125,0.013002215375877368,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
5,0.670448333333324,1000.0,,,,-0.008463541666666666,0.06640625,-0.9876302083333334,-7.224844912104033e-05,-0.15281714667688537,16.24806827105883,0.03144334303779062,2093.0,0.0,0.5564910274038474,0.0,0.0,0.0,0.0,0.09261203188056795,0.011727320282358943,0.027373576098550154,0.06575520833333333,0.014668311583355293,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
6,0.791996666666586,1000.0,,,,-0.0032552083333333335,0.072265625,-0.986328125,-5.4015752508131766e-05,-0.43796341202560135,16.247100322790047,0.05281625624277637,3250.6666666666665,0.0,0.894381599472211,0.0,0.0,0.0,0.0,0.09247847733714946,0.011491976424736582,0.02706798658089433,0.06901041666666667,0.017066133714286138,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
7,0.9146999999999533,1000.0,,,,0.004557291666666667,0.07291666666666667,-0.984375,8.64792572142281e-05,-0.6429477881467908,16.245522083721948,0.08149391840314675,4756.666666666667,0.0,1.343243060474986,0.0,0.0,0.0,0.0,0.09358289426915363,0.011565528280328316,0.026848306072193833,0.07682291666666667,0.020679430795563808,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
8,1.0570149999998588,1000.0,,,,-0.016927083333333332,0.0703125,-0.9830729166666666,2.6390480403405448e-05,-0.9895540815503837,16.24418808854945,0.09934789226938766,5788.0,0.0,1.5410788883736277,0.0,0.0,0.0,0.0,0.09295259426911011,0.011394371828505112,0.02647685021641349,0.08203125,0.024186774615713502,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
9,1.173746666666586,1000.0,,,,0.0032552083333333335,0.06770833333333333,-0.9837239583333334,-9.461661026560643e-05,-0.7892978166539026,16.24434721793581,0.09129468627527094,7445.333333333333,0.0,1.414664664678692,0.0,0.0,0.0,0.0,0.09227125992982256,0.01156972905502253,0.026691463637081764,0.09309895833333333,0.026887373019758003,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
10,1.2927633333333068,1000.0,,,,-0.024739583333333332,0.083984375,-0.98828125,-3.691415915065327e-05,-1.076934574480876,16.244998455543328,0.0726749805409132,7938.0,0.0,1.1252491657599206,0.0,0.0,0.0,0.0,0.09256393906894984,0.011457615565174275,0.026383205073789925,0.10026041666666667,0.028080839597475687,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
11,1.4176099999999863,1000.0,,,,-0.001953125,0.055989583333333336,-0.9869791666666666,-3.5610987128441027e-06,-1.0214665121771136,16.245164182698495,0.0641097775306,8082.666666666667,0.0,1.0027266641916295,0.0,0.0,0.0,0.0,0.09299019705238624,0.011620192419084019,0.02644264985867596,0.1015625,0.02900260199255297,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
