,Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3.1,App message,Unnamed: 34
0,0.0,1000.0,,,,-0.0013020833333333333,0.07291666666666667,-0.9895833333333334,0.00010015327693832286,-0.512496084523009,16.369260046897217,0.005510758253359925,0.0,0.0,0.21092064226189564,0.0,0.0,0.0,0.0,0.1142446926241459,0.026302196149774516,0.03584090101043238,0.059244791666666664,0.01439481038156328,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1,0.16859666666668882,1000.0,,,,0.0,0.07291666666666667,-0.990234375,0.00010435116379848989,-0.2716935841579978,16.369545655814132,0.005003782519611131,0.0,0.0,0.2216466181494466,0.0,0.0,0.0,0.0,0.11434612178477814,0.02635930880017931,0.03610281541343529,0.059895833333333336,0.014342911381064425,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2,0.34238333333328774,1000.0,,,,0.0,0.07747395833333333,-0.994140625,2.491691173370012e-05,-0.7788135396095974,16.369188906178042,0.0,0.0,0.0,0.18557228774893733,0.0,0.0,0.0,0.0,0.11403843717191614,0.02660190318463296,0.03555123467743116,0.059895833333333336,0.014093152905079412,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,0.4521583333333013,1000.0,,,,0.0,0.07421875,-0.9928385416666666,8.859777333349657e-06,-1.2702323501475923,16.368685780825782,0.0,0.0,0.0,0.19494556253691128,0.0,0.0,0.0,0.0,0.11382224824019353,0.026524497190595544,0.03501673165445026,0.059895833333333336,0.013856832682786051,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
4,0.5565366666665748,1000.0,,,,0.0,0.07486979166666667,-0.9928385416666666,4.268278683812346e-05,-1.3971557738437017,16.368375756278652,0.0,0.0,0.0,0.21576246884014685,0.0,0.0,0.0,0.0,0.11408504731063124,0.026529412861962327,0.034878680460238974,0.059895833333333336,0.013829115610461394,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
5,0.6633033333332423,1000.0,,,,0.0006510416666666666,0.07421875,-0.9934895833333334,6.0074104173860715e-05,-1.3971557738437017,16.367492305781283,0.028858719665230206,1770.6666666666667,0.0,0.5778210930630724,0.1314878636711019,9.87755428542903,2.2080667527378943,0.6543089764805864,0.11409905923128161,0.026432490976444307,0.034878680460238974,0.060546875,0.015437464638724667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
6,0.7695983333333084,1000.0,,,,-0.005859375,0.080078125,-0.99609375,7.599479969943187e-05,-0.7989605689057871,16.366036631349843,0.07061138704968702,4026.0,0.0,1.2156000029442828,0.2873122600595612,17.156502034119967,3.6979010996621047,1.0074105880945594,0.11409177473208199,0.02632725104098668,0.03552932129554188,0.064453125,0.018784098822076316,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
7,0.8785816666666894,1000.0,,,,-0.012369791666666666,0.072265625,-0.9869791666666666,0.00015477607437456016,-0.24959297252545434,16.364208374477382,0.11176926804633952,5307.666666666667,0.0,1.7827692445226564,0.3795109934403764,18.841270637578205,17.598741333490256,2.3878412580796664,0.11429524547707888,0.02600315649641981,0.03612685365428812,0.07682291666666667,0.023176531907665377,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
8,1.0126949999998276,1000.0,,,,0.007161458333333333,0.07942708333333333,-0.982421875,0.00017442648754708329,-0.02423412984985725,16.362268233064984,0.14299019261846543,7148.666666666667,0.0,2.3328211642409618,0.4302732815098309,18.483755758922843,5.378112885231734,0.9967725459143336,0.11454541605906221,0.026086062692065915,0.03637197040619616,0.09505208333333333,0.028981157547111322,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
9,1.1715999999999474,1000.0,,,,-0.018229166666666668,0.06770833333333333,-0.9986979166666666,0.00018668845717543687,0.5634016422471949,16.363000561686405,0.1223034540651674,7916.666666666667,0.0,1.9468082977797334,0.3992662033982048,21.929717216317172,3.949782502539586,0.7056904439741958,0.11468859500928867,0.026127180550160927,0.03701112603040543,0.11848958333333333,0.031813562474028535,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
10,1.2989433333334164,1000.0,,,,-0.020833333333333332,0.06315104166666667,-0.99609375,0.00015845255652215335,-0.8083471690225101,16.36405399205334,0.10068100224872506,8124.666666666667,0.0,1.5910994017372821,0.4539707057547246,33.328024733086856,1.9829974314580443,0.8756261192329005,0.11469444397227453,0.026308021650654184,0.03551911174305769,0.1328125,0.03417665119030286,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
11,1.4210466666666617,1000.0,,,,-0.005208333333333333,0.072265625,-0.9856770833333334,0.00015353745735374857,-1.1461964053785596,16.36340739995048,0.11448035128077494,8960.0,0.0,1.7750025529962432,0.5085069077952249,31.589795658790262,1.942187314341582,0.5509387430807814,0.11472122225135145,0.026360653085572994,0.03515164221549443,0.13671875,0.03758594338218386,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
12,1.5837316666667516,1000.0,,,,-0.004557291666666667,0.07942708333333333,-0.998046875,8.078835159986619e-05,-0.7882361142253999,16.362881785766465,0.11414632832261568,9091.333333333334,0.0,1.7942701066209754,0.5256575965182698,56.48555898312352,1.6027183563046261,0.5858628605549588,0.11425209436216487,0.02642900561291743,0.0355409859964519,0.12565104166666666,0.04004127677202613,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
13,1.6906566666666718,1000.0,,,,-0.004557291666666667,0.07421875,-0.9947916666666666,1.7867425029719794e-06,-0.9777611544735101,16.361797090342236,0.1508992208622568,9815.666666666666,0.0,2.43291088549097,0.5096329799447293,26.13521919044575,3.3292622728844568,0.8504875834921917,0.11383030730011227,0.026575211844535724,0.03533484470765531,0.115234375,0.04632152064550473,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
14,1.8004216666666712,1000.0,,,,-0.009114583333333334,0.072265625,-0.9915364583333334,4.786183983948755e-05,-0.5781434695240121,16.359669970274464,0.19638220617423444,10661.333333333334,0.0,3.1639955894225538,0.5851692596721451,17.78146194871952,2.537526058218713,0.40820063087689556,0.11378229042248507,0.0262485266280644,0.03576949811542433,0.109375,0.05285072641642452,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
15,1.9075816666666168,1000.0,,,,-0.014322916666666666,0.0703125,-0.9908854166666666,5.66983561230605e-06,-0.10029836566952881,16.358490818721073,0.20050881980926916,11606.666666666666,0.0,3.1974956431501265,0.5487823659436898,14.619056592269521,15.145946775743417,0.3602576650870833,0.11299564444374148,0.025865651335072404,0.036289237382725124,0.10807291666666667,0.05800799623119004,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
16,2.0186533333333014,1000.0,,,,-0.009765625,0.07291666666666667,-0.9928385416666666,-4.445077855061213e-06,-0.05521442066224284,16.359234411085673,0.17533993868152606,11747.0,0.0,2.788137146832876,0.5418880507111554,19.31947126647417,16.151102546960196,0.35459686532795526,0.11326314205242945,0.02614835869929145,0.036338273977128015,0.10611979166666667,0.060954703488765714,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
17,2.1458833333331424,1000.0,,,,-0.009765625,0.07486979166666667,-0.9915364583333334,-7.46862075040162e-05,0.14347322191142506,16.361191262747788,0.1278553787833114,11866.0,0.0,1.9930051489993126,0.6910584002640784,46.59151125581254,2.3756991074632965,0.49899831885643925,0.11316572255394917,0.026506289067058292,0.036554381182035994,0.103515625,0.06146824871003409,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
18,2.2936499999998485,1000.0,,,,-0.004557291666666667,0.07421875,-0.9947916666666666,-5.128521852089461e-05,-0.5096243414255326,16.363022986768033,0.09253628250438839,11896.333333333334,0.0,1.4895077305439337,0.7490677367920439,88.26511537594833,1.3502583745345433,1.1342000886082173,0.11317175836955438,0.02636535024563105,0.03584402452816086,0.099609375,0.06107623336878745,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
19,2.4063633333332106,1000.0,,,,0.0,0.076171875,-0.994140625,-3.706238132355606e-05,-0.8692682323683957,16.36516438212024,0.05200640563517956,9238.666666666666,0.0,0.8349313843831663,0.524510596939252,79.22012496806082,1.7417124111637303,1.5127752882712766,0.11320273480627592,0.02630211219980184,0.03545284954099437,0.09505208333333333,0.0587141636143918,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
20,2.5323683333332636,1000.0,,,,0.0,0.07747395833333333,-0.9954427083333334,0.00011802808887441804,-0.36536453076623926,16.366594484964796,0.024772236522362576,7950.666666666667,0.0,0.49497026111082515,0.212368224489639,43.38416955468352,25.594727266794408,1.8202265078414828,0.11427033535406945,0.026211810076847114,0.03600093204419109,0.08854166666666667,0.05678506114743504,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
21,2.7070450000001443,1000.0,,,,0.0,0.078125,-0.994140625,0.00025634264021654396,-0.29418208523441886,16.367549287923456,0.01566176907753393,6389.0,0.0,0.3404765645890999,0.29235028702840776,76.35137578423387,2.157015140008116,2.5033500232694976,0.11512627208338348,0.02605229888728579,0.03607835527566707,0.083984375,0.055182980614448394,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
22,2.9853883333333653,1000.0,,,,0.0,0.078125,-0.9954427083333334,0.0003328502621441189,-0.0419685757676875,16.368262334313428,0.00549990227623708,3564.3333333333335,0.0,0.25325973237713656,0.22677409457576547,87.188800931334,0.7254079180336683,1.8974233967835292,0.11545344737487728,0.025843954774586,0.036352681126358456,0.07747395833333333,0.05062528522176018,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
23,3.1331666666667974,1000.0,,,,0.0,0.07682291666666667,-0.9947916666666666,0.00025929551254112005,-0.09591152569585522,16.368087509187443,0.0,0.0,0.0,0.21479571420236546,0.0,0.0,0.0,0.0,0.11471431885438936,0.025695629560435574,0.03629400883057567,0.072265625,0.049319695813445384,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
24,3.2408733333332975,1000.0,,,,0.0,0.07682291666666667,-0.9934895833333334,0.00024013705708826938,-0.6728709007965251,16.368028685074023,0.005338302913751261,0.0,0.0,0.21990888141539874,0.0,0.0,0.0,0.0,0.11490461505386,0.025971328488871973,0.0356664656362261,0.0703125,0.047803828680383575,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
25,3.3486183333332593,1000.0,,,,0.0,0.07877604166666667,-0.9954427083333334,0.0002874311403671241,-0.8280247508945088,16.36788783281072,0.00549418942368256,0.0,0.0,0.20695778152903865,0.0,0.0,0.0,0.0,0.11503405001577748,0.02578275114585937,0.0354977089665054,0.06901041666666667,0.04662447738672029,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
26,3.4829316666665204,1000.0,,,,0.0,0.07682291666666667,-0.9947916666666666,0.00013813854935257393,-1.4267594129994219,16.367996138602418,0.005436576981256727,0.0,0.0,0.2078844782366848,0.0,0.0,0.0,0.0,0.11412663363603574,0.025968435071423674,0.03484648137815125,0.06705729166666667,0.04538138249065302,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
27,3.6267549999999567,1000.0,,,,0.0,0.07877604166666667,-0.9947916666666666,6.146330537879219e-05,-0.5556575351343463,16.368238719192032,0.006030963263929423,0.0,0.0,0.2028644584893415,0.0,0.0,0.0,0.0,0.11392096780983478,0.02627759703264333,0.0357939554614764,0.06510416666666667,0.043698481656414316,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
