ESC signal (µs),Thrust (gf),Current (A),Motor Efficiency (%),Burst Current Cutoff (A),Voltage (V),Electrical Power (W),Torque (N·m),Motor Electrical Speed (RPM),Mechanical Power (W),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),AccX (g),AccY (g),AccZ (g)
1000,2.5635701774790185,0.1942127295383101,2.9726158634847617,0.19351443463405518,16.56117376476467,3.080385996215893,-0.0006087123812418135,1736.9045454545455,0.12150015140568318,2.7856724961288184,0.2172429322694516,-0.0016246448863636363,0.023721590909090907,-0.9488991477272727
1003,1.6484396692797367,0.17974449415781024,0.0,0.1855171187327438,16.525872601268368,2.8400049993916374,-3.083975632963465e-05,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1004,2.312046898392756,0.17957040778088684,0.0,0.18332590560811862,16.577298387852014,2.830776193761502,-0.000894868906741218,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1007,1.978343869636267,0.17961652194578678,0.0,0.18390942255838386,16.560373837546617,2.8300959541989954,-0.0006298250703269612,0.0,0.0,0.0,0.0,0.0,0.022135416666666668,-0.9479166666666666
1010,2.4062483228763853,0.1778764667174496,0.0,0.1850182992392692,16.526202175875014,2.8206844318542634,-4.875353451016021e-05,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1011,2.0263085436247206,0.1826958901330452,0.0,0.18329893064399583,16.57818159631887,2.893932244045377,-0.0009808704812351119,0.0,0.0,0.0,0.0,0.0,0.0185546875,-0.9443359375
1014,3.4655174000381406,0.17774911145820718,0.0,0.18366855577763525,16.526753703634448,2.8207580151810507,-0.0010787272167453068,0.0,0.0,0.0,0.0,0.0,0.0205078125,-0.9453125
1015,-0.1354633496606954,0.17834701992470492,0.0,0.18333089817820167,16.630105459367485,2.8362353798281594,0.00013086810116650637,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
1017,3.2119992496131795,0.1783175390414677,0.0,0.18452166780238144,16.526285095419635,2.8337026960487792,-0.00025670013479541924,0.0,0.0,0.0,0.0,0.0,0.017578125,-0.94140625
1018,4.564401500537151,0.17746880841749765,0.0,0.1824273339889203,16.526081684895633,2.783813634578461,-0.00198434230840555,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.9453125
1019,0.04718975415643628,0.1779859138841486,0.0,0.1830945047421994,16.629632809419338,2.8179713973928036,0.0001433994179128321,0.0,0.0,0.0,0.0,0.0,0.021484375,-0.947265625
1021,2.144570662386169,0.18160241488053333,0.0,0.1845387267114941,16.526489951359494,2.857753042052237,-0.00025670013479541924,0.0,0.0,0.0,0.0,0.0,0.015625,-0.94140625
1022,4.2840847918163805,0.1788004779467554,0.0,0.18233662191112301,16.526627402212135,2.8376413844244937,-0.0018205546096465687,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.947265625
1025,0.6945664058088865,0.1920838389510772,0.0,0.1846177783389839,16.578082628112924,3.031286160532629,7.650035785200117e-06,0.0,0.0,0.0,0.0,0.0,0.0166015625,-0.943359375
1027,4.4499267507477125,0.19111354507387432,0.0,0.1831223728032912,16.525707324739507,3.050341847669147,-0.0018205546096465687,0.0,0.0,0.0,0.0,0.0,0.01953125,-0.9453125
