,Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3.1,App message,Unnamed: 34
0,0.0,1000.0,,,,0.0,0.018880208333333332,-0.9446614583333334,-2.065520033497053e-05,0.0036282237217107817,16.10958997155067,0.0,0.0,0.0,0.2257620793754965,0.0,0.0,0.0,0.0,0.1270021418849361,0.002472371300133966,0.06279665831215493,0.05859375,0.011693991369486928,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1,0.26199499999990805,1000.0,,,,0.0,0.018229166666666668,-0.9440104166666666,-2.4073960598688766e-05,0.003605057300541428,16.109281772255517,0.010938849575282112,0.0,0.0,0.22052368550379395,0.0,0.0,0.0,0.0,0.12686244366435476,0.002370696437873864,0.06277102833368314,0.05859375,0.011918094914505772,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2,0.366909999999955,1000.0,,,,0.0,0.018880208333333332,-0.9440104166666666,-1.969344728139045e-05,0.003662259442340578,16.109538255434813,0.0,0.0,0.0,0.20261011546736843,0.0,0.0,0.0,0.0,0.126587942514893,0.0021264463515967918,0.06283431345019447,0.05859375,0.011911967555731732,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,0.5096583333333061,1000.0,,,,-0.005859375,0.022786458333333332,-0.9505208333333334,-2.608595257104515e-05,0.003235117024221965,16.109257529268532,0.01407028867041041,1470.3333333333333,0.0,0.34702266058943326,0.006602885443266982,1.0170035642601838,0.01601179253704071,0.0004885215024109504,0.1265171587583523,0.002114876644711118,0.062361747968424946,0.059895833333333336,0.012582407566271587,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
4,0.6178699999999467,1000.0,,,,-0.0032552083333333335,0.032552083333333336,-0.9576822916666666,-2.6621798948124325e-05,0.003530797730919527,16.108410318409664,0.03193150700749629,2221.0,0.0,0.6356286435486741,0.01034826772025752,0.7082636199565431,0.0012710708662153698,2.700759758780989e-05,0.12646520850754275,0.002077941162731075,0.06268887187296697,0.068359375,0.014834914118655227,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
5,0.7354933333332786,1000.0,,,,-0.0026041666666666665,0.031901041666666664,-0.95703125,3.0588022161807145e-05,0.003486525646502157,16.108279535444538,0.03364311780040743,2491.6666666666665,0.0,0.6565104387059181,0.026703920563346095,1.7691389631674452,4.613437837233591e-05,2.448543789600269e-06,0.1265709248628139,0.001812864821019471,0.06263989181850696,0.07486979166666667,0.015761500843386234,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
6,0.8634616666666505,1000.0,,,,-0.009114583333333334,0.029296875,-0.958984375,-3.6976567084237764e-06,0.0034933837225344096,16.107580606275203,0.035536209131767624,2613.3333333333335,0.0,0.5854200583264085,0.028009139939660782,2.0821111067419675,0.00017894891217015772,1.1177745527066344e-05,0.12631299230575518,0.001811955556516063,0.06264747919420817,0.07877604166666667,0.016472411757207928,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
7,0.9796466666666092,1000.0,,,,-0.0026041666666666665,0.0390625,-0.9583333333333334,-9.387797435538047e-05,0.0027645925650859435,16.108024159754738,0.03342352256753748,4490.333333333333,0.0,0.5604055191389041,0.06345949478421495,8.456899494735973,0.008013524073747752,0.0010317440252235821,0.1266380111027902,0.0026200672013672404,0.061841187124350196,0.08138020833333333,0.017198202858381955,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
8,1.0863949999999702,1000.0,,,,-0.012369791666666666,0.049479166666666664,-0.970703125,-6.892289508610932e-05,0.002535423355575363,16.10671118906552,0.06309497375074453,7358.666666666667,0.0,0.9546992495750878,0.10070702173645908,9.833432888066172,0.010393441011500477,0.004573336960479375,0.12644814916348548,0.0023095941521304396,0.0615876476646634,0.09049479166666667,0.0198272568629896,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
9,1.1917516666666297,1000.0,,,,-0.01171875,0.037109375,-0.9713541666666666,-4.5362468389359345e-05,0.0027429077322278536,16.10622413530513,0.07353380377114772,7818.0,0.0,1.1004171863559855,0.09924524741679847,7.896126061994898,0.03358501670808775,0.004002479233410177,0.1264616497323494,0.002179226223548275,0.06181719628885366,0.10026041666666667,0.02199641029035886,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
10,1.2989466666665879,1000.0,,,,-0.01171875,0.046875,-0.96875,1.325755817087602e-06,0.0030363380204660225,16.105460334368257,0.07732367188800297,7982.0,0.0,1.176578245302703,0.1624533469410969,11.717444571830095,0.03203521121875849,0.0029728882047050016,0.12681038384380472,0.002178379827218137,0.06214183046154436,0.10546875,0.02397636804861745,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
