Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,0,0.037109375,-0.962890625,-0.006035061662851737,-0.000835471063035822,15.95661387460802,0.01709936740506229,0,0,0.2637209200492837,0,0,0,0,0.1198759545993716,0.004156784755091587,0.0632992911789396,0.060546875,0.013627099749253807,0,1,1,1,0,0,0,0,0,,
0.12129000000003726,1000,,,,0,0.017578125,-0.943359375,-0.006018112763898602,-0.000835471063035822,15.955874309385877,0.016373127300992735,0,0,0.2649439277331885,0,0,0,0,0.11992948015640141,0.004095627246091688,0.0632992911789396,0.060546875,0.013696395393459217,0,1,1,1,0,0,0,0,0,,
0.23295500000007452,1000,,,,0,0.021484375,-0.9453125,-0.00592622407467851,-0.0017501283153179398,15.955535385697267,0,0,0,0.23357233879321287,0,0,0,0,0.11995719978979086,0.0035454936275921296,0.062287367692196005,0.060546875,0.013692928750829104,0,1,1,1,0,0,0,0,0,,
0.38528499999991617,1000,,,,0,0.01953125,-0.9453125,-0.00592622407467851,-0.001954935978761876,15.955440882109333,0,0,0,0.23207153969447958,0,0,0,0,0.11995719978979086,0.0035454936275921296,0.0620607804275273,0.060546875,0.013641284584051033,0,1,1,1,0,0,0,0,0,,
0.5880049999998882,1000,,,,0,0.021484375,-0.947265625,-0.005991577758329934,-0.0013905202007891927,15.956284188085046,0,0,0,0.17997335816131826,0,0,0,0,0.11966455429146387,0.0037094850479988946,0.06268521715570519,0.060546875,0.013399586383965592,0,1,1,1,0,0,0,0,0,,
0.7070800000000745,1000,,,,0,0.01953125,-0.947265625,-0.005765764090930972,-0.0010761302123526043,15.956025796863443,0,0,0,0.21378976501594105,0,0,0,0,0.12079738182799515,0.0032441652658549568,0.06303303991937131,0.060546875,0.01350131298848653,0,1,1,1,0,0,0,0,0,,
0.8138449999999721,1000,,,,-0.015625,0.048828125,-0.96875,-0.005827114249923672,-0.0010126426291175556,15.953750507284497,0.06730664636407734,6996,0,1.007961809601508,4.268942495638896,423.52224607860876,0.0002372115881514122,0.0010046438460976,0.12094953411257857,0.003753579809513349,0.06310327888203393,0.0625,0.01734746212772755,0,1,1,1,0,0,0,0,0,,
0.9272350000001024,1000,,,,-0.01953125,0.056640625,-0.97265625,-0.005827114249923672,-0.0009834565758934095,15.952052088780203,0.09340196806987475,7540,0,1.3804443659334407,4.600928893147427,333.2933225480863,0.00021375174420933978,0.0007124202902797952,0.12094953411257857,0.003753579809513349,0.06313556863064651,0.068359375,0.020775344915011942,0,1,1,1,0,0,0,0,0,,
1.0338350000001957,1000,,,,-0.0234375,0.064453125,-0.974609375,-0.005909161494007576,-0.0009674433886818493,15.9514178518377,0.1061603306522564,7958,0,1.591837666222254,4.924406379273075,309.3535530516542,0.00019645888543111267,0.0006077525423668256,0.12056311917225905,0.003943623486891538,0.06315328468788715,0.07421875,0.024183683347229475,0,1,1,1,0,0,0,0,0,,
1.1553250000001862,1000,,,,-0.01953125,0.05859375,-0.970703125,-0.0059031761285940265,-0.0009674433886818493,15.951069188095538,0.11500372333650365,8067,0,1.7358475155873205,4.986656701674801,287.2750432797996,0.0001940064148303867,0.0005573320121695809,0.12048108349994877,0.0038379719921703506,0.06315328468788715,0.078125,0.027589941620635557,0,1,1,1,0,0,0,0,0,,
1.2614699999999721,1000,,,,0,0.0234375,-0.94921875,-0.00592313712796763,-0.001398514412776655,15.95299278732162,0.06527770091246793,8103,0,1.01859123567064,5.026341727531074,493.46013901461987,0.0002782370337290222,0.0013729888534293876,0.12043662406254764,0.003925469132612331,0.06267637282538589,0.080078125,0.027237767636010317,0,1,1,1,0,0,0,0,0,,
1.3771149999999908,1000,,,,0,0.017578125,-0.943359375,-0.00592313712796763,-0.0015149614184285594,15.954222126532276,0.04108743685355959,8107,0,0.6302167931586168,5.028705663675064,797.9326667052823,0.00030126269456808887,0.0024038734525553412,0.12043662406254764,0.003925469132612331,0.06254754264371279,0.076171875,0.026807369837896153,0,1,1,1,0,0,0,0,0,,
1.4837999999998137,1000,,,,0,0.017578125,-0.943359375,-0.005944124763128569,-0.0020212466628007127,15.95460223121064,0.024758727896321657,8111,0,0.40963360659188924,5.048662604462385,1232.4825217507798,0.0004003528896968048,0.004934279390837298,0.12007033861432599,0.00375137547532122,0.061987418150637776,0.072265625,0.026156872942933798,0,1,1,1,0,0,0,0,0,,
1.5967250000000932,1000,,,,0,0.017578125,-0.943359375,-0.00584412403468494,-0.0020212466628007127,15.9552645693891,0.015330089669563167,8111,0,0.2678160978505773,4.964009044664362,1853.514065996859,0.00040718029411595846,0.00754714402540667,0.12038752867154258,0.0033916891861838225,0.061987418150637776,0.0703125,0.02545954340718773,0,1,1,1,0,0,0,0,0,,
1.732280000000028,1000,,,,0,0.0390625,-0.96484375,-0.00601534791161226,-0.0017512733865466755,15.952576842988439,0.08509926053694142,10385,0,1.3056217838436819,6.541689376100989,501.04015244312177,0.00026770965202729916,0.0013413328486225305,0.11987298523618964,0.004031334464466439,0.06228610085211196,0.0703125,0.030237025517830966,0,1,1,1,0,0,0,0,0,,
1.937945000000065,1000,,,,0,0.041015625,-0.966796875,-0.00601534791161226,-0.0020328093639405665,15.950281357343531,0.1331569174669681,11591,0,2.0455559785251323,7.3012833440020595,356.9339299756716,0.0002784180901033654,0.0009937686307691486,0.11987298523618964,0.004031334464466439,0.06197462585185654,0.0703125,0.035705302341205676,0,1,1,1,0,0,0,0,0,,
2.0553149999999443,1000,,,,0,0.041015625,-0.96484375,-0.005903538201131888,-0.0010816817757697873,15.94801485523216,0.16472959100519846,11729,0,2.5539673683352673,7.251361806384106,283.92538981853573,0.0001491694670120409,0.0004235299907041692,0.1203162588862715,0.0037029757749942557,0.06302689799309677,0.072265625,0.0447015984842354,0,1,1,1,0,0,0,0,0,,
2.1644499999999534,1000,,,,0,0.03125,-0.95703125,-0.005904871885540073,-0.0015596098454414434,15.94857358982273,0.13110145478288374,11843,0,2.0389231317041325,7.323313694031189,359.1755657757613,0.00021296504705412136,0.0007649184126612567,0.12037713374150091,0.0037619880135087093,0.062498146225734616,0.072265625,0.04664963796089001,0,1,1,1,0,0,0,0,0,,
2.2822350000001026,1000,,,,0,0.017578125,-0.943359375,-0.005904871885540073,-0.0016231107501006703,15.952238368760499,0.07294669475781371,11860,0,1.1226240369875427,7.333863687371502,653.2786975639008,0.00022131727821660704,0.001445818632617325,0.12037713374150091,0.0037619880135087093,0.06242789252502453,0.0703125,0.04542922000135362,0,1,1,1,0,0,0,0,0,,
2.3880500000000464,1000,,,,0,0.01953125,-0.9453125,-0.006072658405282124,-0.0017820434531392103,15.954564522529504,0.04128256714419449,11869,0,0.6422523375726202,7.547671554686049,1175.1878682469762,0.00023610506104134994,0.0027746780336750623,0.11921433506767791,0.003840367005940615,0.062252058643409235,0.068359375,0.04416321912755313,0,1,1,1,0,0,0,0,0,,
2.5042299999999815,1000,,,,0,0.017578125,-0.943359375,-0.006080388369631234,-0.0017820434531392103,15.954899523101307,0.02664917656481599,11870,0,0.42291144483661897,7.557792255497335,1787.0862441230681,0.00023578889084216356,0.004213750833410662,0.11873140227719527,0.003486433745962691,0.062252058643409235,0.06640625,0.0430660312550291,0,1,1,1,0,0,0,0,0,,
2.6118100000000557,1000,,,,0,0.021484375,-0.9453125,-0.006188282615816886,-0.0017186363282021006,15.955413338541973,0.020175301554311888,11427,0,0.30124651054518464,7.405241506906665,2458.199928525292,0.00023208376480350786,0.005705082940518637,0.11845249115244341,0.003927237217544632,0.062322208591699325,0.064453125,0.042005095636788496,0,1,1,1,0,0,0,0,0,,
