,Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3.1,App message,Unnamed: 34
0,0.0,1000.0,,,,0.0,0.024088541666666668,-0.9498697916666666,-0.002087830600132044,-0.0011338961792241387,16.211641684966608,0.005699789135020763,0.0,0.0,0.22378278732735604,0.0,0.0,0.0,0.0,0.10945769798101873,0.003920891390826971,0.056656584038843195,0.059244791666666664,0.009008156627437829,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
1,0.17188166666706092,1000.0,,,,0.0,0.017578125,-0.9440104166666666,-0.0020696547737617675,-0.0015266970174636285,16.21146026554464,0.010622190868271417,0.0,0.0,0.22111940492689675,0.0,0.0,0.0,0.0,0.10950258036824162,0.0038449434292299697,0.05622201207996421,0.059244791666666664,0.00912750258138114,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2,0.2849083333329763,1000.0,,,,0.0,0.01953125,-0.9440104166666666,-0.0020275082352515642,-0.0018669981227567502,16.21141855815154,0.005345610921744022,0.0,0.0,0.20388960147769708,0.0,0.0,0.0,0.0,0.10954201920496093,0.003614794470520414,0.05584552276645171,0.059244791666666664,0.009158137141417888,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
3,0.4125083333333799,1000.0,,,,0.0,0.018880208333333332,-0.9446614583333334,-0.002055747848519964,-0.0015631627392637358,16.211390580651795,0.0063993354758449346,0.0,0.0,0.21002992638894766,0.0,0.0,0.0,0.0,0.10959434185321253,0.0038345161746612066,0.05618166853022629,0.059244791666666664,0.009238345840683967,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
4,0.5556116666664991,1000.0,,,,0.0,0.018880208333333332,-0.9453125,-0.0020941707906968737,-0.0015452705011184684,16.2121151911677,0.005156810754496525,0.0,0.0,0.2040407744655326,0.0,0.0,0.0,0.0,0.10952758041249021,0.004018631915284756,0.056201463459927485,0.059244791666666664,0.009128412498175963,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
5,0.6713200000001428,1000.0,,,,0.014322916666666666,0.009765625,-0.947265625,-0.0019463178466913613,-0.0022635016818909996,16.211631486816614,0.005262902804691727,628.0,0.0,0.259269507432443,0.068642416036492,22.39058096018357,0.0035626575637837453,0.0023930991784593086,0.11008302297154382,0.003558685311820521,0.05540685433293272,0.059244791666666664,0.00918414700809503,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
6,0.7831399999999752,1000.0,,,,-0.009114583333333334,0.034505208333333336,-0.9739583333333334,-0.002012077665788132,-0.0019136412932251022,16.210156331698414,0.039963922703948475,4609.333333333333,0.0,0.7398439514347332,1.6719431036660461,168.0774200263963,0.0006212549659248874,0.000772478416673808,0.10987254780506983,0.0037936362134506304,0.05579391948054833,0.0703125,0.010457967281144268,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
7,0.8968066666668747,1000.0,,,,-0.061848958333333336,0.08138020833333333,-0.9700520833333334,-0.001973568776336225,-0.0020871470696850352,16.208790551303725,0.07428168157358789,6538.333333333333,0.0,1.143041060010095,1.9201919035984234,147.7173383265987,0.004341548804510219,0.0023313234431646297,0.10986661262307629,0.0035483891380935096,0.05560196279967424,0.087890625,0.012390444938803674,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
8,1.0067066666667814,1000.0,,,,-0.004557291666666667,0.06770833333333333,-0.984375,-0.0020022440666482865,-0.0017081942651301066,16.207431936156727,0.09582060203042968,7573.333333333333,0.0,1.452227556783673,2.1100036812379885,137.04322215774206,0.002294221449325506,0.0012003759118475136,0.10963965514687184,0.003538299141609381,0.05602121410101113,0.11067708333333333,0.014879114471006422,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
9,1.123065000000565,1000.0,,,,0.0006510416666666666,0.031901041666666664,-0.9733072916666666,-0.002068444079494242,-0.0017081942651301066,16.206862889746528,0.09718256714669603,7814.0,0.0,1.4880474194984472,2.1285172344126986,134.202998447877,0.0024989145794633307,0.001074219335466076,0.10946138754361923,0.0038028604625334555,0.05602121410101113,0.12760416666666666,0.020899228669783377,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
10,1.2606766666663656,1000.0,,,,-0.004557291666666667,0.032552083333333336,-0.9596354166666666,-0.0020324934587891284,-0.001252196285279136,16.20735613720504,0.07388060002088974,8051.0,0.0,1.1724630831634004,2.176349152645575,221.79245337192228,0.0015591395411939104,0.001109978708104679,0.10979684526022782,0.0038578975169058782,0.05652570369486448,0.12955729166666666,0.022177411952169445,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,
