Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,Debug 3,App message,
0,1000,,,,0,0.017578125,-0.947265625,-0.03535839602877308,-35.35216436520659,12.438070621553475,0,0,0,0.15300834006584532,0,0,0,0,0.1222071573474048,0.020438700517182187,0.032978871955400425,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.22726000000000932,1000,,,,0,0.015625,-0.947265625,-0.03534927550584034,-35.580069016635285,12.437633284154309,0,0,0,0.11684680752264334,0,0,0,0,0.1223692606158741,0.020513259093032754,0.03273040617637182,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.34004000000003726,1000,,,,0,0.017578125,-0.9453125,-0.03530826922874797,-36.726054298216134,12.437229458420612,0,0,0,0.13600878096821084,0,0,0,0,0.12275173247224555,0.020568436540496757,0.03148103226514038,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.4751500000000233,1000,,,,0,0.017578125,-0.947265625,-0.03530826922874797,-36.9858015298691,12.436799260820523,0,0,0,0.13004659807000157,0,0,0,0,0.12275173247224555,0.020568436540496757,0.03119785112838605,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.6100850000000791,1000,,,,0,0.017578125,-0.9453125,-0.035249873196744226,-36.84701093814637,12.436605204012897,0,0,0,0.11135067936729579,0,0,0,0,0.12374603675323698,0.02101056435565248,0.03134916314539865,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.7185400000001537,1000,,,,0,0.015625,-0.947265625,-0.035238346993915634,-36.14741055470688,12.43640220434352,0,0,0,0.1006235483319097,0,0,0,0,0.12394709226655636,0.021101712386559182,0.03211188015529869,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.8326950000000652,1000,,,,0,0.017578125,-0.947265625,-0.035259328209444996,-36.14741055470688,12.43654498954745,0,0,0,0.13930182388386766,0,0,0,0,0.12317532536510947,0.02060769978587462,0.03211188015529869,0.05859375,0,0,1,1,1,0,0,0,0,0,,
0.9317950000001584,1000,,,,-0.015625,0.060546875,-0.974609375,-0.03533852805849138,-35.751600050115165,12.435821568171008,0,5051,0,0.21077367323621787,18.691521744860054,8868.053328421205,1.912717462929225,169.62080463458875,0.12275353438955439,0.020757372556716752,0.03254339993672736,0.060546875,0,0,1,1,1,0,0,0,0,0,,
1.0535750000000699,1000,,,,0.001953125,0.0234375,-0.98828125,-0.03533852805849138,-36.01803435342678,12.434065515259487,0.026931952036896585,5515,0,0.3200922331143462,20.410212668074035,6376.353612048724,1.764706470196008,112.5239247544007,0.12275353438955439,0.020757372556716752,0.032252928433327714,0.068359375,0,0,1,1,1,0,0,0,0,0,,
1.1911500000000232,1000,,,,-0.015625,0.068359375,-0.982421875,-0.03537673914493865,-36.182947673645614,12.433070027693137,0.036159267261268994,7707,0,0.4020150119875262,28.551166996290988,7102.015134991247,1.2673018822083892,90.00397148046875,0.12234989359063414,0.020667760472509275,0.03207313694454721,0.078125,0,0,1,1,1,0,0,0,0,0,,
1.3485000000001164,1000,,,,-0.009765625,0.056640625,-0.982421875,-0.035345698335861896,-35.57881410048403,12.432652166146129,0.04461338968906231,8035,0,0.5061535620078865,29.740316231042446,5875.749666378729,1.196315931010426,70.2925293251807,0.12262822985015956,0.020700484020964457,0.03273177430869023,0.0859375,0,0,1,1,1,0,0,0,0,0,,
1.4603699999999953,1000,,,,0,0.017578125,-0.94921875,-0.035373167276535784,-35.21297646623714,12.43593601700291,0.018323093789167237,8093,0,0.29159306535600504,29.980206144961926,10281.522336053906,1.1745408385777414,120.76067866444535,0.12275929231977291,0.020976647407425004,0.033130617123969835,0.087890625,0,0,1,1,1,0,0,0,0,0,,
1.561375,1000,,,,0,0.017578125,-0.947265625,-0.035401097841024555,-35.21297646623714,12.436486951549082,0,8139,0,0.21210337789758948,30.173608018755502,14225.896974316134,1.1670124581836296,166.01798997863733,0.12280235079325505,0.021184515669577426,0.033130617123969835,0.08203125,0,0,1,1,1,0,0,0,0,0,,
1.7667750000001397,1000,,,,0,0.017578125,-0.9453125,-0.03526312541439633,-35.01948788940875,12.43644418397307,0,8141,0,0.143262371834694,30.061662371651085,20983.64140329765,1.164921868141032,244.44302743931007,0.12288337590020659,0.020395172129011874,0.033341561875090214,0.078125,0,0,1,1,1,0,0,0,0,0,,
1.8803450000000885,1000,,,,-0.001953125,0.03125,-0.95703125,-0.03528222070894236,-34.991453847210146,12.435284568201428,0.01912398465787643,9633,0,0.2911619156170647,35.59078533033835,12223.709015964589,0.9831604872563091,120.17867712215083,0.12316766756234541,0.020743346527638803,0.03337212509567624,0.07421875,0,0,1,1,1,0,0,0,0,0,,
1.9955650000000604,1000,,,,-0.00390625,0.037109375,-0.96484375,-0.03528649109650898,-35.3706135752592,12.433720429244236,0.04328496033889988,11292,0,0.4914572813844559,41.72683995971412,8490.430712953903,0.8476705547174996,71.9708811224013,0.12330372094147639,0.020879810605215363,0.0329587582924302,0.076171875,0,0,1,1,1,0,0,0,0,0,,
2.1065350000000325,1000,,,,-0.0078125,0.041015625,-0.966796875,-0.03528649109650898,-35.86507507334938,12.432849538679438,0.05799339852497666,11686,0,0.6511295509472479,43.181810576300556,6631.83087197942,0.8305597795622119,55.08131987125099,0.12330372094147639,0.020879810605215363,0.03241968741102229,0.076171875,0,0,1,1,1,0,0,0,0,0,,
2.2174300000000513,1000,,,,-0.00390625,0.03515625,-0.958984375,-0.0353463764543059,-36.1245040528448,12.431870674597427,0.06237196256384389,11852,0,0.6773046674927656,43.86823330659493,6476.883360184948,0.823477521886299,53.33567858991707,0.12278520805977376,0.020831609635223715,0.032136853238534616,0.076171875,0,0,1,1,1,0,0,0,0,0,,
2.3469700000000886,1000,,,,-0.001953125,0.02734375,-0.95703125,-0.03537744546069428,-36.04942734393582,12.433098026310986,0.04415767518294205,11922,0,0.5109969731304187,44.1672155485267,8643.341912174921,0.8162033059188023,70.54724242903713,0.12217875442464425,0.020533762816941584,0.03221870322645296,0.076171875,0.010486987292576402,0,1,1,1,0,0,0,0,0,,
2.5000150000001304,1000,,,,0.001953125,0.017578125,-0.9453125,-0.035429320666311645,-36.04942734393582,12.43573039764239,0.0187689067639464,11936,0,0.2959577366739131,44.2838826511888,14962.907592438063,0.8140529959372944,121.80599753557097,0.12189099690676333,0.02062250848408169,0.03221870322645296,0.072265625,0,0,1,1,1,0,0,0,0,0,,
2.608270000000135,1000,,,,0,0.015625,-0.9453125,-0.03546018186153548,-35.997793280108716,12.43638872176141,0,11936,0,0.19088272241085177,44.32260947015651,23219.81209737647,0.8121767583279794,188.58591718232023,0.12178646121585272,0.020729197821984898,0.03227499561808599,0.0703125,0,0,1,1,1,0,0,0,0,0,,
2.7180950000000883,1000,,,,0,0.017578125,-0.947265625,-0.03551888278091855,-35.65892798390674,12.436395719196561,0,11938,0,0.14605649161364553,44.40274976511422,30401.079249918006,0.8030792726247505,244.14476611031546,0.12175076319192624,0.02106403625181607,0.032644432701878584,0.068359375,0,0,1,1,1,0,0,0,0,0,,
2.8209100000000324,1000,,,,0,0.017578125,-0.9453125,-0.03551888278091855,-35.45888491323194,12.436488070131286,0,7335,0,0.1399791509367263,27.28338104582277,19491.031959577656,1.2996514198030777,253.3154735969227,0.12175076319192624,0.02106403625181607,0.03286252328091198,0.06640625,0,0,1,1,1,0,0,0,0,0,,
2.9352050000000744,1000,,,,0,0.017578125,-0.9453125,-0.035471253807082756,-35.45888491323194,12.436406189694132,0,0,0,0.13389247358530929,0,0,0,0,0.12205708465433765,0.021016609389868546,0.03286252328091198,0.064453125,0,0,1,1,1,0,0,0,0,0,,
3.0427700000000186,1000,,,,0,0.017578125,-0.9453125,-0.035425519272802096,-35.30706203111838,12.436017368596648,0,0,0,0.15001130409306945,0,0,0,0,0.1221276927843239,0.02079033512485964,0.033028043336962784,0.064453125,0,0,1,1,1,0,0,0,0,0,,
3.156965000000084,1000,,,,0,0.017578125,-0.947265625,-0.035425519272802096,-34.67052258996778,12.436340761688601,0,0,0,0.1376123523259194,0,0,0,0,0.1221276927843239,0.02079033512485964,0.0337220101653555,0.0625,0,0,1,1,1,0,0,0,0,0,,
3.257870000000112,1000,,,,0,0.017578125,-0.947265625,-0.03545903504101972,-34.67838806757537,12.436905842409008,0,0,0,0.11760177323693971,0,0,0,0,0.12243788313507406,0.02124879685368369,0.03371343507920017,0.0625,0,0,1,1,1,0,0,0,0,0,,
3.370285000000149,1000,,,,0,0.017578125,-0.9453125,-0.035332466013308896,-34.67838806757537,12.437025500834372,0,0,0,0.110670611802213,0,0,0,0,0.12281101435815611,0.020766288247475926,0.03371343507920017,0.060546875,0,0,1,1,1,0,0,0,0,0,,
3.4723950000000188,1000,,,,0,0.017578125,-0.947265625,-0.03535155420243757,-34.378632209449115,12.43679093624737,0,0,0,0.1028199968740642,0,0,0,0,0.12297129777706847,0.02101415225885953,0.034040234345212646,0.060546875,0,0,1,1,1,0,0,0,0,0,,
3.588545000000042,1000,,,,0,0.017578125,-0.947265625,-0.03535155420243757,-34.52092326732982,12.437010653377857,0,0,0,0.09964172570416749,0,0,0,0,0.12297129777706847,0.02101415225885953,0.03388510605659062,0.060546875,0,0,1,1,1,0,0,0,0,0,,
3.6998500000000933,1000,,,,0,0.015625,-0.947265625,-0.03529466994803811,-34.939238285452085,12.436730668478496,0,0,0,0.13004704373295822,0,0,0,0,0.12308705761073697,0.020755303259777824,0.03342905144688629,0.060546875,0,0,1,1,1,0,0,0,0,0,,
3.848005000000121,1000,,,,0,0.017578125,-0.947265625,-0.03537651387734672,-34.939238285452085,12.436560241545989,0,0,0,0.1148765494014482,0,0,0,0,0.1227749786796045,0.021010065577192708,0.03342905144688629,0.060546875,0,0,1,1,1,0,0,0,0,0,,
